0,POINT (19.2258167267 50.3172436949)
50,POINT (19.2397749424 50.3794967607)
0,POINT (19.2401075363 50.3803382916)
76,POINT (19.2362236977 50.3747004338)
40,POINT (19.2293787003 50.3721002251)
272,POINT (19.0238571167 50.3281488387)
132,POINT (19.0418493748 50.3293542789)
134,POINT (19.0430670977 50.3225116301)
6,POINT (19.0457439423 50.3223403801)
272,POINT (19.0345859528 50.3269433679)
73,POINT (19.0216255188 50.3263406211)
966,POINT (19.1292142868 50.3209429562)
410,POINT (19.136531353 50.3255255308)
52,POINT (19.1378188133 50.3188604445)
345,POINT (19.1310811043 50.3328745371)
757,POINT (19.1379261017 50.3049313021)
114,POINT (19.120759964 50.3253816899)
1005,POINT (19.1347289085 50.3186206758)
26,POINT (19.1314566135 50.3221485792)
38,POINT (19.1396856308 50.3115983413)
889,POINT (19.1357374191 50.315037702)
628,POINT (19.1279482841 50.3141470548)
623,POINT (19.1332054138 50.3254501856)
510,POINT (19.1262531281 50.3290803179)
107,POINT (19.1280126572 50.3057604504)
107,POINT (19.1310167313 50.3064182767)
172,POINT (19.1234636307 50.3272036426)
24,POINT (19.141960144 50.3204771392)
76,POINT (19.1465950012 50.3113653875)
830,POINT (19.123570919 50.3240254541)
75,POINT (19.1408872604 50.3250803075)
588,POINT (19.1380870342 50.3078846486)
1669,POINT (19.1249871254 50.3189426507)
38,POINT (19.1438484192 50.3074598165)
588,POINT (19.1323041916 50.3106391126)
507,POINT (19.1282916069 50.3304364094)
85,POINT (19.1280555725 50.3237240632)
0,POINT (19.1359519958 50.3194358845)
76,POINT (19.1368103027 50.316229773)
923,POINT (19.1276156902 50.3252583973)
13,POINT (19.133913517 50.3221896795)
28,POINT (19.0001678467 50.5000799499)
28,POINT (18.9996743202 50.4882177101)
25,POINT (19.0164005756 50.5034647149)
0,POINT (19.0132141113 50.5037922599)
126,POINT (18.831038475 50.2670697484)
126,POINT (18.8084220886 50.2646556788)
262,POINT (18.8456511497 50.2719386641)
123,POINT (18.8299119473 50.278829729)
349,POINT (18.8356947899 50.2667131322)
126,POINT (18.8224983215 50.2647654119)
123,POINT (18.8319396973 50.2712666462)
64,POINT (18.8414883614 50.2696482784)
123,POINT (18.8306522369 50.275792298)
262,POINT (18.8547599316 50.2758677219)
0,POINT (19.1898536682 50.0766420888)
0,POINT (19.1619586945 50.0819848326)
0,POINT (19.1686534882 50.0785699516)
0,POINT (19.1782665253 50.0752099119)
0,POINT (19.0850543976 50.0853994704)
0,POINT (19.0917921066 50.0893920851)
0,POINT (19.0829086304 50.0806629721)
0,POINT (19.09719944 50.1003218868)
103,POINT (18.8102674484 50.3180726285)
0,POINT (18.8267254829 50.3226075299)
56,POINT (18.8120269775 50.3418452222)
89,POINT (18.8288497925 50.3435980742)
315,POINT (18.8217258453 50.3197373027)
315,POINT (18.8156962395 50.3179904208)
103,POINT (18.8028538227 50.3183192506)
89,POINT (18.8255882263 50.3372984607)
279,POINT (18.8410484791 50.3298405558)
56,POINT (18.8200950623 50.3427764329)
0,POINT (18.8227128983 50.3291077141)
53,POINT (18.8261461258 50.3211621627)
361,POINT (18.8301050663 50.3250666082)
354,POINT (18.8348150253 50.3283406153)
112,POINT (18.9801478386 50.4510282468)
30,POINT (18.5874938965 50.4943198327)
47,POINT (19.4627523422 50.3463607389)
47,POINT (19.4389396906 50.3443888906)
47,POINT (19.4507628679 50.3449708682)
47,POINT (19.4303512573 50.3437624008)
47,POINT (19.455242157 50.3563590778)
38,POINT (19.1714429855 50.2511291395)
