date;start lat;start lon;end lat;end lon
05.11.2015 00:34;50.260060;19.021990;50.275910;19.023020
05.11.2015 00:34;50.265230;18.997420;50.398900;18.902620
05.11.2015 00:35;50.265230;18.997420;50.398900;18.902620
05.11.2015 00:36;50.265230;18.997420;50.300380;18.682540
05.11.2015 00:37;50.265230;18.997420;50.300380;18.682540
05.11.2015 00:37;50.265230;18.997420;50.300380;18.682540
05.11.2015 00:37;50.227170;18.960260;50.211990;18.999400
05.11.2015 00:37;50.283730;19.185300;50.298360;19.134500
05.11.2015 00:37;50.276320;18.985350;50.298220;18.676630
05.11.2015 00:38;50.258250;19.017050;50.269468;19.019476
05.11.2015 00:39;50.227170;18.960260;50.213200;18.988590
05.11.2015 00:37;50.276320;18.985350;50.298220;18.676630
05.11.2015 00:39;50.261349;19.018470;50.276100;18.982320
05.11.2015 00:40;50.272390;18.991550;50.279540;18.943350
05.11.2015 00:41;50.290760;19.133380;50.273300;19.135560
05.11.2015 00:42;50.290760;19.133380;50.273300;19.135560
05.11.2015 00:40;50.300870;18.881810;50.315956;18.883651
05.11.2015 00:42;50.283730;19.185300;50.298360;19.134500
05.11.2015 00:43;50.290760;19.133380;50.278210;19.127070
05.11.2015 00:44;50.258250;19.017050;50.327800;19.182270
05.11.2015 00:44;50.225620;18.969990;50.256800;19.013170
05.11.2015 00:46;50.265230;18.997420;50.274840;19.127460
05.11.2015 00:46;50.265230;18.997420;50.274840;19.127460
05.11.2015 00:44;50.258250;19.017050;50.327800;19.182270
05.11.2015 00:44;50.225620;18.969990;50.256800;19.013170
05.11.2015 00:46;50.265230;18.997420;50.274840;19.127460
05.11.2015 00:46;50.251080;19.004350;50.227410;18.993080
05.11.2015 00:46;50.265230;18.997420;50.274840;19.127460
05.11.2015 00:50;50.258240;19.017742;50.284830;19.013070
05.11.2015 00:50;50.433670;18.864680;50.426790;18.836890
05.11.2015 00:49;50.255727;19.010090;50.227170;18.960260
05.11.2015 00:49;50.255727;19.010090;50.227170;18.960260
05.11.2015 00:50;50.258240;19.017742;50.284830;19.013070
05.11.2015 00:50;50.433670;18.864680;50.426790;18.836890
05.11.2015 00:51;50.258250;19.017050;50.318850;19.003450
05.11.2015 00:51;50.287918;19.011593;50.273995;19.024677
05.11.2015 00:52;50.295990;18.772920;50.307700;18.671020
05.11.2015 00:53;50.276100;18.982320;50.286233;18.730310
05.11.2015 00:54;50.258250;19.017050;50.225910;18.977830
05.11.2015 00:54;50.251080;19.004350;50.258230;19.017290
05.11.2015 00:54;50.251080;19.004350;50.258230;19.017290
05.11.2015 00:54;50.251080;19.004350;50.258230;19.017290
05.11.2015 00:54;50.251080;19.004350;50.258230;19.017290
05.11.2015 00:54;50.251080;19.004350;50.258230;19.017290
05.11.2015 00:54;50.251080;19.004350;50.258230;19.017290
05.11.2015 00:55;50.251080;19.004350;50.258230;19.017290
05.11.2015 00:55;50.251080;19.004350;50.258230;19.017290
05.11.2015 00:56;50.259590;19.014160;50.265230;18.997420
05.11.2015 00:56;50.272290;19.046790;50.251080;19.004350
05.11.2015 00:54;50.251080;19.004350;50.258230;19.017290
05.11.2015 00:54;50.251080;19.004350;50.258230;19.017290
05.11.2015 00:54;50.251080;19.004350;50.258230;19.017290
05.11.2015 00:54;50.251080;19.004350;50.258230;19.017290
05.11.2015 00:54;50.251080;19.004350;50.258230;19.017290
05.11.2015 00:55;50.251080;19.004350;50.258230;19.017290
05.11.2015 00:55;50.251080;19.004350;50.258230;19.017290
05.11.2015 00:56;50.272290;19.046790;50.251080;19.004350
05.11.2015 00:56;50.272290;19.046790;50.251080;19.004350
05.11.2015 00:56;50.272290;19.046790;50.251080;19.004350
05.11.2015 00:56;50.272290;19.046790;50.251080;19.004350
05.11.2015 00:58;50.261670;19.022880;50.253010;19.026960
05.11.2015 00:59;50.261670;19.022880;50.253010;19.026960
05.11.2015 01:01;50.295630;18.662210;50.298220;18.676630
05.11.2015 01:05;50.287980;19.011440;50.250810;19.033310
05.11.2015 01:07;50.225910;18.977830;50.257600;19.017180
05.11.2015 01:09;50.318320;18.888550;50.271350;18.873140
05.11.2015 01:11;50.251080;19.004350;50.227410;18.993080
05.11.2015 01:10;50.318320;18.888550;50.271350;18.873140
05.11.2015 01:11;50.314920;18.878480;50.260930;19.019200
05.11.2015 01:13;50.314920;18.878480;50.299740;18.853010
05.11.2015 01:13;50.314920;18.878480;50.299740;18.853010
05.11.2015 01:15;50.382290;18.943780;50.296520;18.955080
05.11.2015 01:15;50.257600;19.017180;50.225910;18.977830
05.11.2015 01:17;50.235222;18.994843;50.227170;18.960260
05.11.2015 01:17;50.235222;18.994843;50.227170;18.960260
05.11.2015 01:18;50.319520;19.125740;50.315790;19.116820
05.11.2015 01:20;50.258250;19.017050;50.282590;18.964220
05.11.2015 01:24;50.258250;19.017050;50.265230;18.997420
05.11.2015 01:24;50.273719;18.871428;50.278617;19.064509
05.11.2015 01:25;50.276460;18.861980;50.279922;19.064568
05.11.2015 01:28;50.168710;18.903510;50.286920;18.673360
05.11.2015 01:31;50.258250;19.017050;50.265230;18.997420
05.11.2015 01:31;50.258250;19.017050;50.265230;18.997420
05.11.2015 01:32;50.294290;18.957190;50.268120;19.180240
05.11.2015 01:37;50.193600;18.990510;50.290760;19.133380
05.11.2015 01:35;50.294290;18.957190;50.261350;19.019850
05.11.2015 01:38;50.296520;18.955080;50.268120;19.180240
05.11.2015 01:41;50.325482;19.187971;50.319520;19.125740
05.11.2015 01:41;50.300950;19.000040;50.298360;19.134500
05.11.2015 01:47;50.258250;19.017050;50.318850;19.003450
05.11.2015 01:47;50.258250;19.017050;50.261430;18.970380
05.11.2015 01:47;50.318290;19.133160;50.325360;19.187930
