date;start lat;start lon;end lat;end lon;vehiclesCount
18.01.2016 07:16;50.271808;19.177466;50.191340;19.162790;3
18.01.2016 06:36;50.306230;19.317960;50.305330;19.122860;3
18.01.2016 06:39;50.351290;19.082750;50.341250;19.264670;3
18.01.2016 06:39;50.306230;19.317960;50.298390;19.134520;3
18.01.2016 06:40;50.296867;18.774210;50.322922;18.613621;3
18.01.2016 07:47;50.296867;18.774210;50.322922;18.613621;3
18.01.2016 07:56;50.275610;18.870290;50.212820;18.973190;4
18.01.2016 09:42;50.127430;19.105740;50.296260;18.935610;3
18.01.2016 08:35;50.127430;19.105740;50.296260;18.935610;3
18.01.2016 06:47;50.306230;19.317960;50.305330;19.122860;3
18.01.2016 06:47;50.306230;19.317960;50.305330;19.122860;3
18.01.2016 06:55;50.078700;19.169490;50.286920;18.673360;3
18.01.2016 06:55;50.356650;18.908100;50.297291;18.780933;3
18.01.2016 06:56;50.298240;18.954590;50.099230;19.045490;4
18.01.2016 09:40;50.297291;18.780933;50.356650;18.908100;3
18.01.2016 06:43;50.261670;19.022880;50.099230;19.045490;3
18.01.2016 07:55;50.261340;19.019830;50.375220;18.804840;3
18.01.2016 07:14;50.271839;18.965595;50.316460;18.785080;3
18.01.2016 08:15;50.271839;18.965595;50.316460;18.785080;3
18.01.2016 07:16;50.398000;18.876800;50.303640;19.123720;4
18.01.2016 08:47;50.275940;18.854270;50.277348;18.682858;3
18.01.2016 07:36;50.260318;19.057723;50.277348;18.682858;3
18.01.2016 07:33;50.275940;18.854270;50.277348;18.682858;3
18.01.2016 07:40;50.078700;19.169490;50.286920;18.673360;3
18.01.2016 07:38;50.211150;18.998580;50.290900;18.732730;3
18.01.2016 09:55;50.307210;19.067710;50.258250;19.017050;3
18.01.2016 18:26;50.270654;19.037862;50.341250;19.264670;3
18.01.2016 07:46;50.351760;18.918310;50.216010;18.676010;4
18.01.2016 08:48;50.351760;18.918310;50.216010;18.676010;4
18.01.2016 07:46;50.261340;19.019830;50.375220;18.804840;3
18.01.2016 15:11;50.351760;18.918310;50.216010;18.676010;4
18.01.2016 19:01;50.270654;19.037862;50.341250;19.264670;3
18.01.2016 11:26;50.351760;18.918310;50.216010;18.676010;4
18.01.2016 12:28;50.351760;18.918310;50.216010;18.676010;3
18.01.2016 13:08;50.351760;18.918310;50.216010;18.676010;4
18.01.2016 08:02;50.323670;19.167430;50.258460;19.046460;3
18.01.2016 08:56;50.298500;18.836670;50.298360;19.134500;3
18.01.2016 08:26;50.314920;18.878480;50.296260;18.935610;3
18.01.2016 09:23;50.314920;18.878480;50.296260;18.935610;3
18.01.2016 07:56;50.298500;18.836670;50.298360;19.134500;3
18.01.2016 07:57;50.257600;19.017180;50.255614;18.868399;3
18.01.2016 07:54;50.298500;18.836670;50.298360;19.134500;3
18.01.2016 07:54;50.276425;18.941847;50.253010;19.026960;3
18.01.2016 08:32;50.257600;19.017180;50.255614;18.868399;3
18.01.2016 07:58;50.309957;19.031239;50.243840;18.994100;3
